id,name,brand,category,price,image_url,skin_types,concerns_targeted,tags,ingredients
6f7484fd-7e9e-4ef3-9000-ad1feaa642ed,Naturium Advanced Cream #1,Naturium,serum,11.15,https://via.placeholder.com/150?text=Product+1,sensitive;oily,dark_spots;wrinkles,hydrating,squalane;hyaluronic acid;salicylic acid
e3c20081-acf6-4aaa-8c89-0f29fa6459f3,CeraVe Advanced Mask #2,CeraVe,mask,76.74,https://via.placeholder.com/150?text=Product+2,dry;normal,acne;dryness,exfoliating;gentle,glycolic acid;niacinamide
61c3be5b-00e3-4029-9106-f20f7dcec844,EltaMD Hydra Cream #3,EltaMD,cleanser,99.04,https://via.placeholder.com/150?text=Product+3,dry,wrinkles;acne,soothing;gentle,vitamin c;salicylic acid;niacinamide
e9740c60-a92a-4fbc-9b4f-4992d4eb026e,Dr Dennis Gross Ultra Cream #4,Dr,cleanser,62.48,https://via.placeholder.com/150?text=Product+4,combination;dry,oiliness,anti-aging,retinol;hyaluronic acid;ceramide
fdf9f3b7-fcde-448d-a484-4ecf926a0c7d,SK-II Pure Cream #5,SK-II,serum,68.95,https://via.placeholder.com/150?text=Product+5,sensitive,oiliness,rich;oil-free,ceramide;hyaluronic acid;squalane
a867d612-f1fe-4531-9500-49e0444f06f0,Tata Harper Radiant Serum #6,Tata,serum,7.38,https://via.placeholder.com/150?text=Product+6,oily,acne;wrinkles,brightening;exfoliating,squalane;peptides;hyaluronic acid
75d6607b-50e9-4da6-9863-75503f356739,Cocokind Advanced Mask #7,Cocokind,mask,23.14,https://via.placeholder.com/150?text=Product+7,normal,acne;oiliness,brightening;soothing;anti-aging,ceramide
d5e4c07b-c653-43e7-b7fa-ca240b851400,Glow Recipe Hydra Cleanser #8,Glow,mask,24.14,https://via.placeholder.com/150?text=Product+8,oily;normal,wrinkles,hydrating;anti-aging,vitamin c
e3008d70-bd33-4985-a5f6-da7ca17cf460,Cocokind Radiant Serum #9,Cocokind,serum,83.24,https://via.placeholder.com/150?text=Product+9,sensitive,oiliness;dark_spots,rich,salicylic acid;hyaluronic acid;ceramide
ed09e07d-28fa-422e-8976-049e7a8c102a,Cetaphil Radiant Cleanser #10,Cetaphil,cleanser,54.88,https://via.placeholder.com/150?text=Product+10,normal;dry,dark_spots;acne,brightening,vitamin c;salicylic acid
534775f0-eb9b-4e5e-93df-8f5706572904,The Ordinary Hydra Serum #11,The,toner,80.86,https://via.placeholder.com/150?text=Product+11,combination,dark_spots,exfoliating;brightening,hyaluronic acid;squalane
a68582ce-8485-41b5-a74b-2fe14bacca7c,Glow Recipe Advanced Toner #12,Glow,serum,10.32,https://via.placeholder.com/150?text=Product+12,sensitive;combination,acne;dryness,oil-free;gentle;brightening,vitamin c;retinol
88f6330b-031b-44a7-8811-e940a51fbb4d,SK-II Pure Cream #13,SK-II,mask,77.07,https://via.placeholder.com/150?text=Product+13,combination;sensitive,oiliness,spf;brightening;exfoliating,peptides;squalane
47f14477-5974-4985-988c-7b2a64346219,Tata Harper Ultra Toner #14,Tata,cleanser,61.85,https://via.placeholder.com/150?text=Product+14,normal;sensitive,wrinkles,spf;brightening;soothing,ceramide;squalane;niacinamide
ce43ce6f-a131-4475-ab9f-49ebda9347f5,EltaMD Advanced Toner #15,EltaMD,treatment,31.62,https://via.placeholder.com/150?text=Product+15,oily,redness,exfoliating,vitamin c;niacinamide
21f82132-d5b5-4cc0-933d-c1fa3c847812,OSEA Advanced Cleanser #16,OSEA,mask,99.86,https://via.placeholder.com/150?text=Product+16,normal,redness;dark_spots,soothing,squalane;hyaluronic acid;salicylic acid
da850423-2fce-4cbc-a3be-3b9929aab68e,Paula's Choice Hydra Cream #17,Paula's,serum,74.77,https://via.placeholder.com/150?text=Product+17,dry,redness,spf;oil-free;brightening,niacinamide;hyaluronic acid;salicylic acid
8fc7f354-ec01-478d-9caf-fee73f358073,Naturium Hydra Cream #18,Naturium,cleanser,35.71,https://via.placeholder.com/150?text=Product+18,sensitive;normal,acne;wrinkles,gentle,squalane;niacinamide
4bb6e3b0-cfb1-441d-8ee3-5dbc7ed2c885,CeraVe Pure Mask #19,CeraVe,serum,51.47,https://via.placeholder.com/150?text=Product+19,dry;oily,redness;dryness,hydrating;anti-aging,salicylic acid;vitamin c
51f02c2c-4c14-48ac-a365-b14d2308e4f8,EltaMD Advanced Cleanser #20,EltaMD,toner,91.06,https://via.placeholder.com/150?text=Product+20,sensitive,oiliness,hydrating,retinol
26790e02-c99b-46ae-b483-ff6631bb9015,Kiehl's Hydra Serum #21,Kiehl's,moisturizer,90.24,https://via.placeholder.com/150?text=Product+21,dry;sensitive,oiliness,anti-aging;hydrating,vitamin c;glycolic acid;hyaluronic acid
39c97867-2108-4e4b-887b-7d2dc82e18f6,Paula's Choice Advanced Serum #22,Paula's,treatment,81.76,https://via.placeholder.com/150?text=Product+22,normal,dryness;dark_spots,rich,squalane
e3a14f03-740f-4292-a421-7796eec44383,Neutrogena Radiant Cleanser #23,Neutrogena,mask,76.45,https://via.placeholder.com/150?text=Product+23,sensitive;oily,dryness,hydrating;rich,salicylic acid
fa54ee78-e4c4-4c96-a1d1-bed274476f65,Paula's Choice Radiant Serum #24,Paula's,serum,54.77,https://via.placeholder.com/150?text=Product+24,combination,dark_spots;wrinkles,oil-free,peptides
105d46df-f7f5-41e4-a445-38ae078d16cf,Paula's Choice Ultra Cream #25,Paula's,cleanser,94.42,https://via.placeholder.com/150?text=Product+25,oily,acne,exfoliating,peptides;retinol
bbfc1cb2-4f80-4436-baa5-9e2c6bb9b97c,Kiehl's Radiant Serum #26,Kiehl's,serum,78.85,https://via.placeholder.com/150?text=Product+26,dry,dryness,spf;soothing,hyaluronic acid;ceramide
ccef8e8b-4f7a-407d-927e-a2f37beabc7a,Byoma Radiant Toner #27,Byoma,serum,63.1,https://via.placeholder.com/150?text=Product+27,oily;sensitive,dryness;oiliness,anti-aging;exfoliating,peptides
0820fff6-9ca0-459d-837a-707e899c8055,Tata Harper Pure Cleanser #28,Tata,cleanser,78.03,https://via.placeholder.com/150?text=Product+28,oily;dry,acne;dark_spots,brightening;oil-free;spf,vitamin c;niacinamide;ceramide
d54fca97-81b9-4c76-9fe1-82b393302ffc,Cetaphil Pure Cream #29,Cetaphil,moisturizer,23.57,https://via.placeholder.com/150?text=Product+29,normal,oiliness,gentle;exfoliating;oil-free,retinol
cdd5b9d0-7b69-4b0a-be3d-b7267aaf1f60,CeraVe Advanced Toner #30,CeraVe,toner,44.89,https://via.placeholder.com/150?text=Product+30,combination,acne,oil-free,squalane;peptides
b96c6372-c72e-4094-ba69-b87ac97ac445,CeraVe Advanced Cream #31,CeraVe,mask,30.16,https://via.placeholder.com/150?text=Product+31,normal;sensitive,acne;dark_spots,rich,salicylic acid;ceramide;vitamin c
16025305-fa04-457b-b29a-af53d4b2ee6b,La Roche-Posay Radiant Cream #32,La,moisturizer,24.01,https://via.placeholder.com/150?text=Product+32,sensitive,dark_spots;dryness,rich;anti-aging;exfoliating,hyaluronic acid
fe019da3-43f9-449a-83eb-4f6dca09b97f,Cetaphil Advanced Toner #33,Cetaphil,toner,55.5,https://via.placeholder.com/150?text=Product+33,sensitive;combination,dark_spots,anti-aging;oil-free;spf,niacinamide;squalane;ceramide
53fa8d4f-6421-40e5-993d-129bac206916,Dr Dennis Gross Hydra Serum #34,Dr,toner,61.11,https://via.placeholder.com/150?text=Product+34,sensitive;oily,oiliness;dryness,gentle;hydrating;spf,retinol
1999664c-1da8-419d-833e-2c29b2853f8a,Dr Dennis Gross Hydra Cream #35,Dr,moisturizer,99.83,https://via.placeholder.com/150?text=Product+35,normal,acne,hydrating,peptides
579f6c8c-82cd-476c-b93a-5f036bf10bac,Byoma Pure Mask #36,Byoma,cleanser,87.17,https://via.placeholder.com/150?text=Product+36,dry,wrinkles;dryness,gentle;rich;hydrating,glycolic acid;squalane;ceramide
3568fe40-9a5c-481b-b898-3b4e253597b2,CeraVe Hydra Serum #37,CeraVe,mask,77.8,https://via.placeholder.com/150?text=Product+37,sensitive;dry,oiliness,soothing,squalane;ceramide
f190c567-6bed-480b-9ccf-a0752902163d,Neutrogena Ultra Toner #38,Neutrogena,serum,78.24,https://via.placeholder.com/150?text=Product+38,dry;normal,dryness,spf;gentle;rich,peptides
793d678c-1e21-4266-81b5-e830095e6060,Byoma Pure Toner #39,Byoma,moisturizer,98.33,https://via.placeholder.com/150?text=Product+39,combination;sensitive,oiliness;dryness,hydrating,niacinamide;hyaluronic acid
dcb92945-11b2-471f-8d16-0fa9064b45d0,Innisfree Pure Cleanser #40,Innisfree,moisturizer,8.15,https://via.placeholder.com/150?text=Product+40,sensitive,dryness,oil-free;exfoliating,squalane;peptides
4df43150-8a2d-4309-ac13-a7c57b01c1e7,Naturium Radiant Toner #41,Naturium,serum,21.76,https://via.placeholder.com/150?text=Product+41,oily,redness;dark_spots,soothing;brightening,squalane;retinol;peptides
4652ac34-a10a-40c1-b632-3a7a13327655,The Ordinary Advanced Mask #42,The,moisturizer,85.07,https://via.placeholder.com/150?text=Product+42,oily,acne;wrinkles,oil-free,hyaluronic acid;niacinamide
43f971a8-acba-4b0b-8803-9a5cc1e99cbd,Glow Recipe Advanced Cleanser #43,Glow,toner,66.3,https://via.placeholder.com/150?text=Product+43,combination;dry,redness;wrinkles,spf;hydrating,salicylic acid;niacinamide;retinol
2dfee395-68c8-469a-b02d-83b80bd663fa,Glow Recipe Ultra Toner #44,Glow,treatment,55.87,https://via.placeholder.com/150?text=Product+44,combination;dry,dark_spots;redness,spf;anti-aging;soothing,peptides;niacinamide
55e46d63-8b01-4c90-8370-cd2dcd1cf795,Kiehl's Radiant Cleanser #45,Kiehl's,serum,48.78,https://via.placeholder.com/150?text=Product+45,dry;sensitive,wrinkles,hydrating,hyaluronic acid;squalane;ceramide
119af967-999d-4df5-9b06-fdc020897801,Glow Recipe Ultra Mask #46,Glow,moisturizer,20.59,https://via.placeholder.com/150?text=Product+46,combination,redness,anti-aging;exfoliating,vitamin c;peptides
64632dd3-0bbb-478b-9de7-afe7792f3cd1,Dr Dennis Gross Pure Toner #47,Dr,toner,6.74,https://via.placeholder.com/150?text=Product+47,oily,dark_spots;acne,hydrating;anti-aging;oil-free,retinol;niacinamide
a2fc01d7-1dbc-4f56-954e-dcaeb899e802,Innisfree Pure Toner #48,Innisfree,serum,84.6,https://via.placeholder.com/150?text=Product+48,sensitive;normal,acne,soothing;hydrating;rich,retinol;salicylic acid
70907ea6-b2a7-4b39-830f-5f552d08d7e1,Kiehl's Ultra Toner #49,Kiehl's,moisturizer,38.41,https://via.placeholder.com/150?text=Product+49,oily;dry,acne,spf;brightening;oil-free,squalane;vitamin c
e23e0c1e-37db-41d9-9d18-a3ee8e02d5a2,Tata Harper Radiant Cleanser #50,Tata,toner,92.6,https://via.placeholder.com/150?text=Product+50,sensitive;normal,dryness,anti-aging;hydrating,salicylic acid
ae5fe734-533f-4031-bc11-0fc718f20c70,OSEA Pure Toner #51,OSEA,cleanser,78.12,https://via.placeholder.com/150?text=Product+51,sensitive,wrinkles;dark_spots,anti-aging,vitamin c;niacinamide;hyaluronic acid
c3405252-659f-4651-b38e-b1d8fce56a37,Dr Dennis Gross Radiant Serum #52,Dr,moisturizer,56.18,https://via.placeholder.com/150?text=Product+52,dry,acne;wrinkles,exfoliating;hydrating;rich,squalane
ddc56309-45a1-4e40-bec7-88dde0993630,CeraVe Pure Cleanser #53,CeraVe,cleanser,60.6,https://via.placeholder.com/150?text=Product+53,normal;sensitive,acne;oiliness,brightening;rich,niacinamide;glycolic acid
136b501b-f82a-40c0-8652-e164be7a6bf2,Dr Dennis Gross Hydra Cream #54,Dr,cleanser,52.57,https://via.placeholder.com/150?text=Product+54,combination;dry,acne,gentle;anti-aging,vitamin c
4475d60e-1862-4edf-aa3e-45cf8a6df211,OSEA Advanced Toner #55,OSEA,mask,99.81,https://via.placeholder.com/150?text=Product+55,oily,redness,rich;brightening;spf,peptides;vitamin c;niacinamide
fa8bddbb-dcf3-4ae5-b90f-d6fe886e1175,Neutrogena Radiant Cleanser #56,Neutrogena,treatment,83.59,https://via.placeholder.com/150?text=Product+56,sensitive,wrinkles,exfoliating;rich,hyaluronic acid
384800a5-ebeb-482e-9272-ee71fdffdd58,Naturium Pure Mask #57,Naturium,treatment,76.57,https://via.placeholder.com/150?text=Product+57,dry;combination,oiliness;dark_spots,exfoliating,squalane;vitamin c
b1ed6059-6193-4cf1-a37f-1e87e683d593,Dr Dennis Gross Pure Serum #58,Dr,moisturizer,60.09,https://via.placeholder.com/150?text=Product+58,sensitive;oily,dark_spots,gentle;anti-aging;hydrating,retinol;glycolic acid;vitamin c
098cc26e-5b2d-4224-a15b-455d038fcbff,Summer Fridays Advanced Mask #59,Summer,toner,40.32,https://via.placeholder.com/150?text=Product+59,oily;combination,dryness,soothing;rich;anti-aging,squalane;peptides;niacinamide
eaece258-a719-481e-8f63-d36cac43a2b0,Naturium Advanced Serum #60,Naturium,moisturizer,89.26,https://via.placeholder.com/150?text=Product+60,dry,wrinkles;dryness,oil-free;hydrating,peptides;glycolic acid
3f247c71-d1f7-4d39-bd9c-44b5724c1b4f,CeraVe Advanced Toner #61,CeraVe,cleanser,80.89,https://via.placeholder.com/150?text=Product+61,oily,redness;dryness,brightening,squalane;glycolic acid
87f0766a-f7e8-435a-8592-d9fe7f762531,Summer Fridays Pure Cleanser #62,Summer,mask,73.52,https://via.placeholder.com/150?text=Product+62,sensitive;dry,redness,rich;brightening,salicylic acid;vitamin c
750a2151-c0af-4293-b707-710217110a24,Dr Dennis Gross Hydra Toner #63,Dr,moisturizer,98.99,https://via.placeholder.com/150?text=Product+63,normal,redness,spf;exfoliating,ceramide
0e2e4928-d8fb-4430-8426-1f8e38d01bc0,Innisfree Radiant Toner #64,Innisfree,toner,23.2,https://via.placeholder.com/150?text=Product+64,dry,redness;dark_spots,anti-aging;exfoliating,squalane;salicylic acid
8338968c-7077-44f1-94bc-9007f6e89f10,CeraVe Ultra Toner #65,CeraVe,mask,47.15,https://via.placeholder.com/150?text=Product+65,oily,acne;dryness,soothing;hydrating,peptides;squalane
44a56f4b-eb84-49f4-abde-79ca73ce55d1,Summer Fridays Pure Toner #66,Summer,moisturizer,29.76,https://via.placeholder.com/150?text=Product+66,normal,acne;dark_spots,exfoliating;soothing,vitamin c;niacinamide;glycolic acid
e3fbbc82-a7ef-4858-8d35-84ef7f2dc4e4,Kiehl's Ultra Mask #67,Kiehl's,serum,17.07,https://via.placeholder.com/150?text=Product+67,dry,redness,brightening,ceramide;retinol
